0,74.0,180.0,22.99
1,74.0,215.0,34.69
2,72.0,210.0,30.78
3,72.0,210.0,35.43
4,73.0,188.0,35.71
5,69.0,176.0,29.39
6,69.0,209.0,30.77
7,71.0,200.0,35.07
8,76.0,231.0,30.19
9,71.0,180.0,27.05
10,73.0,188.0,23.88
11,73.0,180.0,26.96
12,74.0,185.0,23.29
13,74.0,160.0,26.11
14,69.0,180.0,27.55
15,70.0,185.0,34.27
16,73.0,189.0,27.99
17,75.0,185.0,22.38
18,78.0,219.0,22.89
19,79.0,230.0,25.76
20,76.0,205.0,36.33
21,74.0,230.0,31.17
22,76.0,195.0,32.31
23,72.0,180.0,31.03
24,71.0,192.0,29.26
25,75.0,225.0,29.47
26,77.0,203.0,32.46
27,74.0,195.0,35.67
28,73.0,182.0,25.89
29,74.0,188.0,26.55
30,78.0,200.0,24.17
31,73.0,180.0,26.69
32,75.0,200.0,25.13
33,73.0,200.0,27.9
34,75.0,245.0,30.17
35,75.0,240.0,31.36
36,74.0,215.0,30.99
37,69.0,185.0,32.24
38,71.0,175.0,27.61
39,74.0,199.0,28.2
40,73.0,200.0,28.85
41,73.0,215.0,24.21
42,76.0,200.0,22.02
43,74.0,205.0,24.97
44,74.0,206.0,26.78
45,70.0,186.0,32.51
46,72.0,188.0,30.95
47,77.0,220.0,33.09
48,74.0,210.0,32.74
49,70.0,195.0,30.69
50,73.0,200.0,23.45
51,75.0,200.0,24.94
52,76.0,212.0,24.09
53,76.0,224.0,35.23
54,78.0,210.0,27.43
55,74.0,205.0,30.6
56,74.0,220.0,27.94
57,76.0,195.0,29.99
58,77.0,200.0,25.17
59,81.0,260.0,24.13
60,78.0,228.0,30.46
61,75.0,270.0,25.96
62,77.0,200.0,22.55
63,75.0,210.0,26.29
64,76.0,190.0,24.79
65,74.0,220.0,31.74
66,72.0,180.0,23.92
67,72.0,205.0,25.33
68,75.0,210.0,24.02
69,73.0,220.0,23.7
70,73.0,211.0,31.59
71,73.0,200.0,29.95
72,70.0,180.0,23.64
73,70.0,190.0,32.33
74,70.0,170.0,23.13
75,76.0,230.0,26.6
76,68.0,155.0,26.46
77,71.0,185.0,25.75
78,72.0,185.0,27.51
79,75.0,200.0,25.11
80,75.0,225.0,32.51
81,75.0,225.0,34.67
82,75.0,220.0,31.06
83,68.0,160.0,29.1
84,74.0,205.0,28.66
85,78.0,235.0,28.35
86,71.0,250.0,33.77
87,73.0,210.0,30.89
88,76.0,190.0,37.74
89,74.0,160.0,24.14
90,74.0,200.0,25.71
91,79.0,205.0,24.41
92,75.0,222.0,24.32
93,73.0,195.0,28.09
94,76.0,205.0,33.31
95,74.0,220.0,36.4
96,74.0,220.0,37.36
97,73.0,170.0,31.61
98,72.0,185.0,25.14
99,74.0,195.0,30.29
100,73.0,220.0,36.37
101,74.0,230.0,34.89
102,72.0,180.0,23.79
103,73.0,220.0,27.96
104,69.0,180.0,23.54
105,72.0,180.0,31.37
106,73.0,170.0,31.29
107,75.0,210.0,33.01
108,75.0,215.0,25.1
109,73.0,200.0,31.28
110,72.0,213.0,34.75
111,72.0,180.0,23.46
112,76.0,192.0,25.37
113,74.0,235.0,29.57
114,72.0,185.0,27.33
115,77.0,235.0,40.29
116,74.0,210.0,40.58
117,77.0,222.0,26.79
118,75.0,210.0,32.55
119,76.0,230.0,26.27
120,80.0,220.0,29.47
121,74.0,180.0,29.07
122,74.0,190.0,23.15
123,75.0,200.0,24.9
124,78.0,210.0,23.29
125,73.0,194.0,31.18
126,73.0,180.0,26.56
127,74.0,190.0,25.03
128,75.0,240.0,35.66
129,76.0,200.0,29.64
130,71.0,198.0,30.74
131,73.0,200.0,28.43
132,74.0,195.0,33.77
133,76.0,210.0,40.97
134,76.0,220.0,23.52
135,74.0,190.0,28.19
136,73.0,210.0,26.84
137,74.0,225.0,26.16
138,70.0,180.0,28.67
139,72.0,185.0,24.2
140,73.0,170.0,27.08
141,73.0,185.0,24.76
142,73.0,185.0,23.36
143,73.0,180.0,25.35
144,71.0,178.0,24.63
145,74.0,175.0,24.02
146,74.0,200.0,24.58
147,72.0,204.0,30.82
148,74.0,211.0,32.89
149,71.0,190.0,33.33
150,74.0,210.0,33.52
151,73.0,190.0,36.24
152,75.0,190.0,28.5
153,75.0,185.0,29.42
154,79.0,290.0,26.61
155,73.0,175.0,23.79
156,75.0,185.0,24.96
157,76.0,200.0,25.93
158,74.0,220.0,22.81
159,76.0,170.0,25.29
160,78.0,220.0,26.07
161,74.0,190.0,26.09
162,76.0,220.0,23.23
163,72.0,205.0,33.49
164,74.0,200.0,31.84
165,76.0,250.0,42.3
166,74.0,225.0,35.82
167,75.0,215.0,35.27
168,78.0,210.0,26.81
